wavelength_nm,intensity
345.386,-78.90445
345.605,-78.90445
345.824,-78.90445
346.044,-104.89429
346.263,-103.88432
346.482,37.40005
346.701,-9.9662
346.92,-7.71
347.139,-26.90819
347.358,37.43042
347.577,-3.19485
347.796,-14.48088
348.015,2.44667
348.234,20.48822
348.453,2.44572
348.672,6.95606
348.891,-44.97944
349.11,5.82861
349.329,-9.96504
349.548,-23.52251
349.767,56.56887
349.986,62.16034
350.205,-7.71269
350.424,-37.07582
350.643,3.57514
350.862,-19.00693
351.08,82.48038
351.299,46.39261
351.518,-26.88111
351.737,1.317
351.956,-13.34863
352.174,30.64485
352.393,-53.99202
352.612,6.95418
352.831,4.69823
353.049,-9.97316
353.268,20.4898
353.487,-22.37219
353.705,-45.00046
353.924,-3.19745
354.143,-12.22554
354.361,1.31639
354.58,32.906
354.798,-29.14588
355.017,-5.45468
355.236,1.31649
355.454,10.34749
355.673,28.40307
355.891,63.36395
356.11,21.62227
356.328,-17.87954
356.547,-11.09209
356.765,-18.99514
356.984,29.51283
357.202,20.50566
357.42,13.73315
357.639,-8.83676
357.857,49.83008
358.076,5.82771
358.294,2.44468
358.512,52.06642
358.731,52.03035
358.949,-11.09166
359.167,43.03743
359.386,6.95096
359.604,-31.42547
359.822,10.34068
360.04,21.62896
360.259,-30.28525
360.477,70.10034
360.695,-24.63201
360.913,38.54034
361.131,-6.58005
361.35,17.09135
361.568,8.08547
361.786,20.4993
362.004,43.02417
362.222,-8.84532
362.44,35.15155
362.658,17.12572
362.876,18.23545
363.094,15.97705
363.312,35.18149
363.53,17.10319
363.749,22.75083
363.967,54.28437
364.184,21.60062
364.402,61.0935
364.62,11.4619
364.838,34.02304
365.056,50.97904
365.274,25.00904
365.492,-9.95889
365.71,10.34148
365.928,43.05404
366.146,-6.58158
366.364,24.99842
366.581,65.6025
366.799,32.91237
367.017,23.86561
367.235,-38.20875
367.453,-3.19522
367.67,23.87389
367.888,-11.09939
368.106,3.57348
368.323,166.66829
368.541,-15.60775
368.759,22.74555
368.977,71.25684
369.194,18.23474
369.412,21.62394
369.629,-25.74975
369.847,77.95919
370.065,46.45888
370.282,32.90346
370.5,1.31609
370.717,1.31558
370.935,47.53875
371.152,34.01516
371.37,34.04014
371.588,21.61642
371.805,131.04292
372.022,56.54927
372.24,11.46765
372.457,9.20888
372.675,36.27311
372.892,10.35474
373.11,68.89459
373.327,-22.38431
373.544,-21.24705
373.762,54.31782
373.979,40.77433
374.196,-2.06762
374.414,40.81214
374.631,-44.93761
374.848,78.01628
375.066,62.20099
375.283,81.28596
375.5,11.46765
375.717,8.09206
375.935,26.13172
376.152,83.64474
376.369,48.64837
376.586,-6.58899
376.803,111.74729
377.02,70.14639
377.238,22.75523
377.455,21.6424
377.672,88.07794
377.889,36.27731
378.106,28.39428
378.323,21.60311
378.54,12.59537
378.757,102.70473
378.974,19.37053
379.191,40.79951
379.408,46.42835
379.625,21.61226
379.842,86.9428
380.059,-32.56403
380.276,17.10715
380.493,81.386
380.71,11.4597
380.927,58.77889
381.143,17.08807
381.36,32.91747
381.577,40.79636
381.794,83.59642
382.011,65.57722
382.228,88.11179
