CENTRALWAVELNG,FLAM
0.97011,3.798154327503062e-17
0.97036,2.753652030828938e-17
0.97061,2.623155494937657e-17
0.97085,2.8673427805184404e-17
0.9711,2.0141971744286092e-17
0.97135,1.3533548616557413e-17
0.97159,2.4239903690961557e-17
0.97184,4.846037873585692e-17
0.97209,3.8450970965536054e-17
0.97233,2.316910111752251e-17
0.97258,1.1769781202355628e-17
0.97283,1.0262214920014785e-17
0.97307,1.5821870094577458e-17
0.97332,2.212699766255923e-17
0.97356,2.091846655980602e-17
0.97381,2.451900315501011e-17
0.97406,1.7811322206585306e-17
0.9743,1.5247719228081638e-17
0.97455,1.698072492196254e-17
0.9748,1.793967291642189e-17
0.97504,1.4475903313876518e-17
0.97529,1.0509278625986409e-17
0.97554,1.699778657428539e-17
0.97578,2.1012967326738477e-17
0.97603,2.24082040717801e-17
0.97628,3.42529492249697e-17
0.97652,2.4410283577615317e-17
0.97677,1.6630958222161186e-17
0.97702,1.52396168247701e-17
0.97726,2.189748035206713e-17
0.97751,1.9701596552310238e-17
0.97776,1.8630750605290502e-17
0.978,1.552954727787302e-17
0.97825,1.663743829245458e-17
0.9785,1.8474617293992517e-17
0.97874,2.1305959294407417e-17
0.97899,2.4223565011128228e-17
0.97924,2.2176351854815066e-17
0.97948,2.799746983414892e-17
0.97973,2.1628097274200695e-17
0.97998,1.7193778252424695e-17
0.98022,1.8977675267486495e-17
0.98047,1.979438882943357e-17
0.98072,1.6580621916152062e-17
0.98096,2.241199413306035e-17
0.98121,2.667573767364586e-17
0.98146,2.233649004077869e-17
0.9817,2.23279108315598e-17
0.98195,2.436663162720244e-17
0.9822,2.0750407069734806e-17
0.98244,2.043223427623016e-17
0.98269,2.6242619430225384e-17
0.98294,2.900721250454597e-17
0.98318,3.172193666421534e-17
0.98343,2.3798744731582334e-17
0.98368,2.4918601323428842e-17
0.98392,3.415833504643708e-17
0.98417,2.3372648981326763e-17
0.98441,2.247682583432268e-17
0.98466,2.2308371295022137e-17
0.98491,1.4987698050697456e-17
0.98515,1.62281378119254e-17
0.9854,1.744249576099474e-17
0.98565,2.224491693408363e-17
0.98589,2.5557815144483528e-17
0.98614,2.7482574078612996e-17
0.98639,2.3626252963641008e-17
0.98663,1.8808162319031902e-17
0.98688,1.4776350051209073e-17
0.98713,1.2349251025294505e-17
0.98737,1.8813529276028072e-17
0.98762,1.560023125732168e-17
0.98787,1.4510940663116727e-17
0.98811,1.719472894087085e-17
0.98836,1.5579405737669658e-17
0.98861,1.4107517460103282e-17
0.98885,1.597268827975456e-17
0.9891,1.7113898961554603e-17
0.98935,1.5453790935937968e-17
0.98959,1.8975063206488922e-17
0.98984,2.0758260064123942e-17
0.99009,1.9319683566208466e-17
0.99033,7.722606952748733e-18
0.99058,1.4262807683621634e-18
0.99083,6.373505698794096e-18
0.99107,1.641927370146304e-17
0.99132,1.8485086259330076e-17
0.99157,1.391197489199916e-17
0.99181,1.1627297739930436e-17
0.99206,6.887530636323819e-18
0.99231,1.01303161815813e-17
0.99255,1.6127045166449187e-17
0.9928,1.452089491221811e-17
0.99305,1.530888362867534e-17
0.99329,1.5886061181725486e-17
0.99354,1.614654220762376e-17
0.99379,2.259195478683128e-17
0.99403,1.5244488503464458e-17
0.99428,1.42327571950083e-17
0.99453,2.270250313633865e-17
0.99477,2.9591750199661296e-17
0.99502,1.727524806309761e-17
0.99526,1.6900119848495107e-17
0.99551,1.5728862192297957e-17
0.99576,2.1573988797945e-17
0.996,2.6318838617445636e-17
0.99625,2.5844301877338276e-17
0.9965,2.1132286560277328e-17
0.99674,2.3221889725910152e-17
0.99699,2.019530289198854e-17
0.99724,1.585908166700624e-17
0.99748,2.0078777817214904e-17
0.99773,1.7652981747834162e-17
0.99798,1.8421624501337753e-17
0.99822,2.294360912285064e-17
0.99847,2.0958955818330083e-17
0.99872,1.615488491264357e-17
0.99896,2.247374602296226e-17
0.99921,2.6278374495273144e-17
0.99946,1.912965240815637e-17
0.9997,1.4404148037509596e-17
0.99995,1.497982073899505e-17
1.0002,1.4208800281898795e-17
1.00044,1.762160070202801e-17
1.00069,1.762092538564523e-17
1.00094,1.6501638593027392e-17
1.00118,1.7391841829572658e-17
1.00143,2.0372809439421446e-17
1.00168,2.4101185684665567e-17
1.00192,2.6423060215809362e-17
1.00217,2.823021770933952e-17
1.00242,2.2503598706689716e-17
1.00266,2.1016165621587915e-17
1.00291,2.450177890356602e-17
1.00316,2.309517440308303e-17
1.0034,2.0407158385387268e-17
1.00365,1.9365388326742696e-17
1.0039,1.6589026374900654e-17
1.00414,2.3087351680497224e-17
1.00439,2.3022519760070626e-17
1.00464,2.1852392462326414e-17
1.00488,3.058878009288984e-17
1.00513,4.092604567821124e-17
1.00538,4.2494524914609197e-17
1.00562,3.3256885609225226e-17
1.00587,1.8237946825127784e-17
1.00612,1.7238415559752556e-17
1.00636,1.9552184403384506e-17
1.00661,2.1099917015102636e-17
1.00685,2.166726503173886e-17
1.0071,2.7301736180049136e-17
1.00735,2.137329831524047e-17
1.00759,2.0496641191387195e-17
1.00784,2.6929424489410537e-17
1.00809,3.399651438462239e-17
1.00833,2.594055823209092e-17
1.00858,1.4060999831404628e-17
1.00883,1.6122573340083184e-17
1.00907,1.6963733971317052e-17
1.00932,1.5425969621861738e-17
1.00957,1.6318599800127288e-17
1.00981,2.4794137932770688e-17
1.01006,2.899699907715568e-17
1.01031,2.6321921797820666e-17
1.01055,2.4134794851611288e-17
1.0108,2.170084903077151e-17
1.01105,2.221065951910178e-17
