CENTRALWAVELNG,BANDWIDTH
0.60003,0.00041
0.60044,0.00041
0.60085,0.00041
0.60126,0.00041
0.60167,0.00041
0.60208,0.00041
0.60249,0.00041
0.6029,0.00041
0.60372,0.00041
0.60413,0.00041
0.60454,0.00041
0.60495,0.00041
0.60536,0.00041
0.60577,0.00041
0.60618,0.00041
0.60659,0.00041
0.60701,0.00041
0.60742,0.00041
0.60783,0.00041
0.60824,0.00041
0.60865,0.00041
0.60906,0.00041
0.60948,0.00041
0.60989,0.00041
0.6103,0.00041
0.61071,0.00041
0.61113,0.00041
0.61154,0.00041
0.61195,0.00041
0.61236,0.00041
0.61278,0.00041
0.61319,0.00041
0.6136,0.00041
0.61443,0.00041
0.61484,0.00041
0.61526,0.00041
0.61567,0.00041
0.61609,0.00041
0.6165,0.00041
0.61692,0.00041
0.61733,0.00041
0.61775,0.00041
0.61816,0.00041
0.61858,0.00042
0.61899,0.00042
0.61941,0.00042
0.61982,0.00042
0.62024,0.00042
0.62065,0.00042
0.62107,0.00042
0.62148,0.00042
0.6219,0.00042
0.62232,0.00042
0.62273,0.00042
0.62315,0.00042
0.62357,0.00042
0.62398,0.00042
0.6244,0.00042
0.62482,0.00042
0.62523,0.00042
0.62565,0.00042
0.62607,0.00042
0.62649,0.00042
0.6269,0.00042
0.62732,0.00042
0.62774,0.00042
0.62816,0.00042
0.62858,0.00042
0.62899,0.00042
0.62941,0.00042
0.62983,0.00042
0.63025,0.00042
0.63067,0.00042
0.63109,0.00042
0.63151,0.00042
0.63193,0.00042
0.63235,0.00042
0.63276,0.00042
0.63318,0.00042
0.6336,0.00042
0.63402,0.00042
0.63444,0.00042
0.63486,0.00042
0.63528,0.00042
0.6357,0.00042
0.63613,0.00042
0.63655,0.00042
0.63697,0.00042
0.63739,0.00042
0.63781,0.00042
0.63823,0.00042
0.63865,0.00042
0.63907,0.00042
0.63949,0.00042
0.63992,0.00042
0.64034,0.00042
0.64076,0.00042
0.64118,0.00042
0.6416,0.00042
0.64203,0.00042
0.64245,0.00042
0.64287,0.00042
0.64329,0.00042
0.64372,0.00042
0.64414,0.00042
0.64456,0.00042
0.64499,0.00042
0.64541,0.00042
0.64583,0.00042
0.64626,0.00042
0.64668,0.00042
0.6471,0.00042
0.64753,0.00042
0.64795,0.00042
0.64838,0.00042
0.6488,0.00042
0.64923,0.00042
0.64965,0.00042
0.65007,0.00042
0.6505,0.00042
0.65092,0.00043
0.65135,0.00043
0.65177,0.00043
0.6522,0.00043
0.65263,0.00043
0.65305,0.00043
0.65348,0.00043
0.6539,0.00043
0.65433,0.00043
0.65475,0.00043
0.65518,0.00043
0.65561,0.00043
0.65603,0.00043
0.65646,0.00043
0.65689,0.00043
0.65731,0.00043
0.65774,0.00043
0.65817,0.00043
0.65859,0.00043
0.65902,0.00043
0.65945,0.00043
0.65988,0.00043
0.6603,0.00043
0.66073,0.00043
0.66116,0.00043
0.66159,0.00043
0.66202,0.00043
0.66244,0.00043
0.66287,0.00043
0.6633,0.00043
0.66373,0.00043
0.66416,0.00043
0.66459,0.00043
0.66502,0.00043
0.66544,0.00043
0.66587,0.00043
0.6663,0.00043
0.66673,0.00043
0.66716,0.00043
0.66759,0.00043
0.66802,0.00043
0.66845,0.00043
0.66888,0.00043
0.66931,0.00043
0.66974,0.00043
0.67017,0.00043
0.6706,0.00043
0.67103,0.00043
0.67146,0.00043
0.67189,0.00043
0.67233,0.00043
0.67276,0.00043
0.67319,0.00043
0.67362,0.00043
0.67405,0.00043
0.67448,0.00043
0.67491,0.00043
0.67535,0.00043
0.67578,0.00043
0.67621,0.00043
0.67664,0.00043
0.67707,0.00043
0.67751,0.00043
0.67794,0.00043
0.67837,0.00043
0.6788,0.00043
0.67924,0.00043
0.67967,0.00043
0.6801,0.00043
0.68054,0.00043
0.68097,0.00043
0.6814,0.00043
0.68184,0.00043
0.68227,0.00043
0.6827,0.00043
0.68314,0.00043
0.68357,0.00043
0.68401,0.00043
0.68444,0.00043
0.68487,0.00043
0.68531,0.00043
0.68574,0.00043
0.68618,0.00043
0.68661,0.00043
0.68705,0.00043
0.68748,0.00044
0.68792,0.00044
0.70277,0.00044
0.70321,0.00044
0.70365,0.00044
0.70409,0.00044
0.70453,0.00044
0.70497,0.00044
0.70541,0.00044
0.70585,0.00044
0.70629,0.00044
0.70673,0.00044
0.70717,0.00044
0.70761,0.00044
0.70805,0.00044
0.70849,0.00044
0.70893,0.00044
0.70937,0.00044
0.70981,0.00044
0.71025,0.00044
0.71069,0.00044
0.71113,0.00044
0.71157,0.00044
0.71201,0.00044
0.71245,0.00044
0.7129,0.00044
0.71334,0.00044
0.71378,0.00044
0.71422,0.00044
0.71466,0.00044
0.7151,0.00044
0.71555,0.00044
0.71599,0.00044
0.71643,0.00044
0.71687,0.00044
0.71731,0.00044
0.71776,0.00044
0.7182,0.00044
0.71864,0.00044
0.71908,0.00044
0.71953,0.00044
0.71997,0.00044
0.72041,0.00044
0.72086,0.00044
0.7213,0.00044
0.72174,0.00044
0.72219,0.00044
0.72263,0.00044
0.72307,0.00044
0.72352,0.00044
0.72396,0.00044
0.7244,0.00044
0.72485,0.00044
0.72529,0.00044
0.72574,0.00044
0.72618,0.00044
0.72662,0.00044
0.72707,0.00044
0.72751,0.00044
0.72796,0.00044
0.7284,0.00044
0.72885,0.00044
0.72929,0.00045
0.72974,0.00045
0.73018,0.00045
0.73063,0.00045
0.73107,0.00045
0.73152,0.00045
0.73196,0.00045
0.73241,0.00045
0.73286,0.00045
0.7333,0.00045
0.73375,0.00045
0.73419,0.00045
0.73464,0.00045
0.73509,0.00045
0.73553,0.00045
0.73598,0.00045
0.73643,0.00045
0.73687,0.00045
0.73732,0.00045
0.73777,0.00045
0.73821,0.00045
0.73866,0.00045
0.73911,0.00045
0.73955,0.00045
0.74,0.00045
0.74045,0.00045
0.7409,0.00045
0.74134,0.00045
0.74179,0.00045
0.74224,0.00045
0.74269,0.00045
0.74314,0.00045
0.74358,0.00045
0.74403,0.00045
0.74448,0.00045
0.74493,0.00045
0.74538,0.00045
0.74582,0.00045
0.74627,0.00045
0.74672,0.00045
0.74717,0.00045
0.74762,0.00045
0.74807,0.00045
0.74852,0.00045
0.74897,0.00045
0.74942,0.00045
0.74987,0.00045
0.75032,0.00045
0.75076,0.00045
0.75121,0.00045
0.75166,0.00045
0.75211,0.00045
0.75256,0.00045
0.75301,0.00045
0.75346,0.00045
0.75391,0.00045
0.75436,0.00045
0.75482,0.00045
0.75527,0.00045
0.75572,0.00045
0.75617,0.00045
0.75662,0.00045
0.75707,0.00045
0.75752,0.00045
0.75797,0.00045
0.75842,0.00045
0.75887,0.00045
0.75932,0.00045
0.75978,0.00045
0.76023,0.00045
0.76068,0.00045
0.76113,0.00045
0.76158,0.00045
