wavelength_nm,intensity,spectrum_id,spectrum_name,point_index,x_unit,y_unit,wavelength_calibrated_nm
345.386,-1.234985,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,0,nm,absorbance,341.21027603164254
345.605,-1.234985,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,1,nm,absorbance,341.4276528070887
345.824,0.986985,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,2,nm,absorbance,341.6450295825348
346.044,0.3279929999999998,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,3,nm,absorbance,341.86339894599666
346.263,-0.2974159999999999,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,4,nm,absorbance,342.0807757214428
346.482,-2.2681879999999994,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,5,nm,absorbance,342.29815249688903
346.701,1.5406490000000002,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,6,nm,absorbance,342.51552927233513
346.92,5.018597,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,7,nm,absorbance,342.7329060477813
347.139,5.370593,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,8,nm,absorbance,342.95028282322744
347.358,-1.316589,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,9,nm,absorbance,343.1676595986736
347.577,-0.4024759999999999,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,10,nm,absorbance,343.3850363741197
347.796,-1.093585,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,11,nm,absorbance,343.60241314956585
348.015,4.598968,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,12,nm,absorbance,343.819789925012
348.234,1.119369,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,13,nm,absorbance,344.03716670045816
348.453,-1.33482,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,14,nm,absorbance,344.25454347590426
348.672,-4.820119,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,15,nm,absorbance,344.47192025135047
348.891,-7.476614,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,16,nm,absorbance,344.6892970267966
349.11,4.7025,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,17,nm,absorbance,344.9066738022428
349.329,9.431946,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,18,nm,absorbance,345.12405057768893
349.548,16.959212,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,19,nm,absorbance,345.34142735313503
349.767,20.215203,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,20,nm,absorbance,345.5588041285812
349.986,25.59757,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,21,nm,absorbance,345.77618090402734
350.205,29.583943,37381227-77f4-4711-9322-5d3d6fade0dc,Mercury Lamp,22,nm,absorbance,345.9935576794735
